,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
368,Eyl,65,SO,1561934547,57,7.98,49.82,81.25,23.69
369,Nkhotakota,0,MW,1561934549,86,-12.93,34.3,58.21,1.25
370,Mogadishu,67,SO,1561934465,87,2.04,45.34,76.39,15.46
371,Timbuktu,21,ML,1561934551,23,16.77,-3.01,98.17,0.54
372,Moose Factory,1,CA,1561934552,68,51.26,-80.61,66.2,12.75
373,Muswellbrook,59,AU,1561934554,92,-32.27,150.89,45.0,2.24
374,Kungurtug,100,RU,1561934555,82,50.6,97.53,53.35,3.65
375,Shalyhyne,0,UA,1561934556,92,51.58,34.1,56.77,5.3
376,Ust-Nera,8,RU,1561934557,33,64.57,143.24,60.73,0.67
377,Manzanillo,40,MX,1561934358,70,19.05,-104.32,87.8,9.17
378,Phangnga,20,TH,1561934560,70,8.45,98.53,84.2,8.05
379,Pevek,100,RU,1561934561,97,69.7,170.27,32.11,11.36
380,Vilhena,0,BR,1561934289,65,-12.74,-60.15,77.0,6.93
381,Vila,0,IT,1561934566,83,45.18,8.4,84.99,5.82
382,Kathu,0,ZA,1561934567,48,-27.7,23.05,55.99,1.99
383,Aviles,40,ES,1561934434,93,43.55,-5.92,64.99,2.24
384,Awjilah,0,LY,1561934570,41,29.14,21.3,79.09,15.93
385,Ereymentau,0,KZ,1561934571,66,51.62,73.1,55.15,9.93
386,Vestmanna,100,FO,1561934572,93,62.16,-7.17,46.4,31.09
387,Vallenar,100,CL,1561934577,85,-28.58,-70.76,46.87,1.01
388,Masvingo,0,ZW,1561934582,54,-20.08,30.83,55.15,4.9
389,Emba,0,CY,1561934583,73,34.81,32.42,77.0,5.82
390,Zyryanka,5,RU,1561934584,28,65.73,150.89,68.11,12.21
391,Oranjestad,20,AW,1561934586,74,12.52,-70.03,84.2,20.8
392,Rawson,0,AR,1561934590,59,-43.3,-65.11,33.73,8.81
393,Lagoa,0,PT,1561934591,56,37.14,-8.45,73.4,13.87
394,Susaki,75,JP,1561934593,88,33.42,133.28,75.2,2.24
395,Mozhaysk,21,RU,1561934597,91,55.5,36.03,49.93,3.74
396,Port Hedland,64,AU,1561934598,50,-20.31,118.58,55.4,9.17
397,Axim,5,GH,1561934599,90,4.87,-2.24,76.39,6.51
398,Ulety,72,RU,1561934601,62,51.36,112.48,62.53,3.13
399,Martapura,71,ID,1561934602,80,-3.41,114.85,77.29,6.29
400,Atar,0,MR,1561934558,10,20.52,-13.05,95.65,16.91
401,Denpasar,40,ID,1561934604,88,-8.65,115.22,73.4,5.82
402,Bonavista,25,CA,1561934609,86,48.65,-53.11,52.0,6.35
403,Barra da Estiva,32,BR,1561934610,86,-13.63,-41.33,62.35,7.76
404,Kochubey,100,RU,1561934611,67,44.39,46.54,61.81,16.33
405,Fukue,75,JP,1561934615,94,35.03,136.69,75.0,13.87
406,San Cristobal,88,HN,1561934623,72,14.68,-86.92,74.41,7.87
407,Bata,40,GQ,1561934625,83,1.87,9.77,75.2,15.99
408,San Patricio,100,PY,1561934626,96,-26.98,-56.83,58.39,11.14
409,Weston,1,US,1561934627,50,41.2,-73.38,79.0,6.93
410,Steubenville,1,US,1561934629,39,40.37,-80.63,82.4,13.87
411,Sur,46,OM,1561934630,44,22.57,59.53,91.15,8.46
412,Onega,0,RU,1561934631,78,63.91,38.09,45.79,5.32
413,Hobyo,74,SO,1561934633,67,5.35,48.53,79.99,23.38
414,Angoche,34,MZ,1561934634,96,-16.23,39.91,69.73,3.56
415,Yarkovo,0,RU,1561934635,100,54.81,82.6,46.4,2.24
416,Huaicheng,100,CN,1561934637,85,23.91,112.19,81.97,3.24
417,Orlik,0,PL,1561934638,57,53.95,17.74,75.2,9.17
418,Amalapuram,100,IN,1561934639,81,16.58,82.0,77.83,11.43
419,Muros,90,ES,1561934593,100,42.77,-9.06,66.0,5.82
420,Kutum,45,SD,1561934641,42,14.2,24.66,82.33,10.29
421,San Rafael,72,AR,1561934643,56,-34.61,-68.33,43.63,8.28
422,Lincoln,21,GB,1561934494,72,53.23,-0.54,63.0,14.99
423,Omsukchan,98,RU,1561934645,69,62.53,155.8,51.01,2.15
424,Freeport,75,BS,1561934646,70,26.54,-78.7,86.0,5.82
425,Vila Velha,75,BR,1561934623,78,-3.71,-38.6,80.6,16.11
426,Igunga,1,TZ,1561934649,53,-4.28,33.88,61.99,6.71
427,Bilma,0,NE,1561934659,14,18.69,12.92,93.31,9.86
428,Vuktyl,100,RU,1561934660,78,63.86,57.31,58.21,5.39
429,Honiara,79,SB,1561934661,83,-9.43,159.96,80.35,21.54
430,Saint-Georges,85,CA,1561934663,29,46.12,-70.67,63.0,5.91
431,Bilibino,100,RU,1561934568,85,68.06,166.44,41.47,7.85
432,Drumheller,2,CA,1561934671,49,51.47,-112.7,71.01,5.53
433,San Policarpo,95,PH,1561934673,71,12.18,125.51,83.95,8.68
434,Udachnyy,90,RU,1561934674,77,66.42,112.4,62.6,8.95
435,Soto,0,AR,1561934675,70,-32.81,-61.4,52.0,4.7
436,Najran,20,SA,1561934677,14,17.54,44.22,87.8,3.94
437,Gavle,0,SE,1561934679,54,60.67,17.14,70.0,5.01
438,Genteng,40,ID,1561934681,86,-8.36,114.15,71.35,2.64
439,Bagdarin,84,RU,1561934682,53,54.44,113.59,66.49,3.98
440,Jacareacanga,48,BR,1561934684,58,-6.22,-57.76,78.91,2.57
441,Vestmannaeyjar,100,IS,1561934685,82,63.44,-20.27,51.55,2.08
442,Erzin,0,TR,1561934686,26,36.95,36.2,82.4,17.22
443,Turiacu,92,BR,1561934688,67,-5.01,-63.0,80.89,0.67
444,Mitsamiouli,20,KM,1561934600,83,-11.38,43.28,75.2,5.82
445,Saint Anthony,1,US,1561934626,32,43.97,-111.68,80.6,8.05
446,Khandbari,0,NP,1561934691,80,27.38,87.21,57.31,3.51
447,Ilave,3,PE,1561934692,81,-16.09,-69.64,41.29,3.24
448,Gushikawa,75,JP,1561934694,89,26.35,127.87,84.2,16.11
449,Manzhouli,15,CN,1561934695,42,49.6,117.43,70.45,10.71
450,Nioro,67,GM,1561934696,65,13.79,-15.05,81.25,12.41
451,Gdynia,0,PL,1561934698,57,54.52,18.54,75.2,9.17
452,Dukat,0,AL,1561934699,64,40.25,19.57,70.0,3.69
453,Aksaray,0,TR,1561934700,58,38.37,34.03,59.0,5.82
454,Xacmaz,100,AZ,1561934702,90,41.46,48.81,55.51,11.86
455,Lakeway,40,US,1561934703,54,30.36,-97.99,90.0,4.7
456,Nemuro,0,JP,1561934639,92,43.32,145.57,51.01,8.9
457,Cartagena del Chaira,100,CO,1561934706,96,1.33,-74.84,72.97,2.71
458,Whitefish,1,US,1561934707,29,48.41,-114.33,80.01,4.7
459,Xining,84,CN,1561934708,70,36.62,101.77,51.19,2.89
460,Boddam,56,GB,1561934709,71,57.47,-1.78,57.2,13.87
461,Muroto,75,JP,1561934713,88,33.37,134.14,75.2,2.24
462,Deputatskiy,79,RU,1561934715,42,69.3,139.9,59.83,2.91
463,Nizwa,0,OM,1561934716,42,22.93,57.53,78.01,1.03
464,Zeya,83,RU,1561934718,41,53.74,127.27,72.61,6.02
465,Ballina,89,IE,1561934741,87,54.11,-9.15,57.0,7.0
466,Lingdong,20,CN,1561934743,81,28.06,114.24,80.89,0.31
467,Skjervoy,40,NO,1561934747,77,70.03,20.97,45.61,10.18
468,Namatanai,45,PG,1561934749,82,-3.66,152.44,79.99,13.02
469,Ishinomaki,75,JP,1561934750,93,38.42,141.3,66.2,3.36
470,Aitape,1,PG,1561934752,63,-3.15,142.36,84.49,2.3
471,Kitimat,75,CA,1561934753,50,54.02,-128.69,77.0,8.05
472,Barra,0,GM,1561934754,83,13.49,-16.54,80.6,4.7
473,Candido Mendes,75,BR,1561934759,91,-1.45,-45.72,72.43,3.09
474,Mongo,0,CD,1561934760,77,-5.62,14.6,67.75,4.65
475,Karratha,69,AU,1561934762,25,-20.74,116.85,67.21,11.21
476,Westerland,0,NL,1561934763,93,52.89,4.93,64.99,6.93
477,Tatarsk,0,RU,1561934764,84,55.22,75.96,54.61,3.74
478,Kamina,0,CD,1561934769,37,-8.74,25.0,59.65,4.74
479,Neuquen,0,AR,1561934773,80,-38.95,-68.06,41.0,3.36
480,Goya,100,AR,1561934774,78,-29.14,-59.27,54.97,4.65
481,Kalmunai,100,LK,1561934763,69,7.42,81.82,74.41,1.19
482,Campos Novos,89,BR,1561934777,97,-27.4,-51.22,62.71,2.68
483,Sokode,35,TG,1561934778,91,8.98,1.13,72.79,1.57
484,Antalaha,10,MG,1561934779,92,-14.9,50.28,60.19,4.41
485,Sovetskiy,66,RU,1561934658,94,56.76,48.47,46.15,4.34
486,Honningsvag,0,NO,1561934757,75,70.98,25.97,43.81,12.08
487,Malanje,0,AO,1561934783,54,-9.54,16.35,60.19,1.74
488,Caconda,0,AO,1561934787,49,-13.73,15.06,55.51,2.17
489,Carbonia,0,IT,1561934789,61,39.17,8.53,77.0,1.12
490,Sangueya,100,GN,1561934790,86,10.7,-14.37,77.65,9.08
491,Lata,56,IN,1561934622,84,30.78,78.62,39.49,2.71
492,Itarema,0,BR,1561934793,81,-2.92,-39.92,75.31,7.05
493,Talara,0,PE,1561934794,290,-4.58,-81.27,62.6,12.75
494,Atambua,93,ID,1561934795,73,-9.11,124.89,78.73,10.27
495,Khor,100,RU,1561934796,93,47.88,134.96,62.89,3.38
496,Exeter,40,GB,1561934797,82,50.73,-3.53,61.0,5.82
497,Jumla,15,NP,1561934799,90,29.28,82.18,51.19,3.27
498,Uribia,100,CO,1561934800,61,11.71,-72.27,82.87,13.15
499,Alice Springs,27,AU,1561934775,51,-23.7,133.88,39.2,4.12
500,Yuryevets,83,RU,1561934802,97,57.32,43.11,49.93,6.89
501,Fleetwood,20,CA,1561934803,60,49.16,-122.8,80.01,10.29
502,Mayya,0,RU,1561934808,63,61.74,130.28,60.8,11.18
503,Teofilo Otoni,31,BR,1561934810,91,-17.86,-41.51,65.77,2.77
504,Helmstedt,57,DE,1561934670,64,52.23,11.01,69.01,1.99
505,Colares,20,PT,1561934824,82,38.8,-9.45,66.2,12.75
506,Conceicao do Almeida,2,BR,1561934825,97,-12.78,-39.17,64.87,3.13
507,Charagua,90,BO,1561934826,93,-19.79,-63.2,60.8,4.52
508,Dauphin,20,CA,1561934829,41,51.15,-100.04,77.0,24.16
509,Rome,0,IT,1561934833,46,41.89,12.48,79.0,3.36
510,Sola,23,TZ,1561934616,57,-3.17,33.8,66.49,8.75
511,Jizan,31,SA,1561934836,47,16.89,42.56,96.8,6.93
512,Bubaque,95,GW,1561934622,86,11.28,-15.83,80.17,14.16
513,Espanola,38,CA,1561934842,60,46.27,-81.77,77.0,3.0
514,Muscat,0,OM,1561934843,75,23.6,58.55,93.2,16.11
515,Ancud,40,CL,1561934845,93,-41.87,-73.83,39.2,5.77
516,Warin Chamrap,75,TH,1561934847,78,15.19,104.86,82.4,9.17
517,La Palma,80,CO,1561934850,85,5.36,-74.39,73.51,2.82
518,Seoul,1,KR,1561934618,88,37.57,126.98,69.8,1.12
519,Alirajpur,100,IN,1561934852,91,22.3,74.35,74.23,4.14
520,Jiayuguan,1,CN,1561934854,19,39.77,98.29,77.29,3.96
521,Alice Town,93,BS,1561934855,71,25.72,-79.3,83.77,7.0
522,Bambanglipuro,73,ID,1561934856,81,-7.95,110.28,74.05,10.2
523,Pacific Grove,1,US,1561934634,47,36.62,-121.92,86.0,21.92
524,Poum,0,MK,1561934839,74,41.28,20.71,54.07,3.38
525,Alberdi,90,AR,1561934859,93,-26.19,-58.14,59.0,10.29
526,Ossora,100,RU,1561934861,90,59.24,163.07,51.37,3.94
527,Vrangel,100,RU,1561934862,93,42.73,133.08,59.11,2.57
528,Rocha,2,UY,1561934686,91,-34.48,-54.34,45.97,10.11
529,Cidreira,100,BR,1561934627,85,-30.17,-50.22,59.47,7.34
530,Pathein,100,MM,1561934606,87,16.78,94.73,79.81,12.46
531,Bandarbeyla,22,SO,1561934881,54,9.49,50.81,82.15,23.6
532,Eureka,75,US,1561934666,82,40.8,-124.16,66.99,8.05
533,Boa Vista,40,BR,1561934883,66,2.82,-60.67,86.0,4.7
